req_id,area,verification,test_ids
REQ-GOV-001,GOV,I,artifact-rust-toolchain.toml
REQ-GOV-002,GOV,A,cargo-metadata-cycle-analysis
REQ-GOV-011,GOV,T,gate-clippy-restriction-lints
REQ-GOV-015,GOV,T,TST-GOV-015
REQ-GOV-031,GOV,T,gate-fmt-clippy-build-test
REQ-GOV-032,GOV,I,artifact-ci-workflow
REQ-GOV-050,GOV,T,TST-GOV-050
REQ-GOV-060,GOV,T,TST-GOV-060
REQ-GOV-061,GOV,T,TST-GOV-060
REQ-GOV-070,GOV,I,artifact-legacy-dir
REQ-GOV-071,GOV,T,TST-GOV-071
REQ-UNI-001,UNI,I,artifact-architecture-md
REQ-UNI-003,UNI,T,TST-GOV-071
REQ-UNI-005,UNI,T,TST-GOV-071
REQ-UNI-010,UNI,I,cargo-metadata-members
REQ-GOV-010,GOV,I,artifact-secmem-deny-unsafe
REQ-SECMEM-001,SECMEM,T,TST-SECMEM-001
REQ-SECMEM-002,SECMEM,T,TST-SECMEM-002
REQ-SECMEM-003,SECMEM,T,TST-SECMEM-003
REQ-SECMEM-004,SECMEM,T,TST-SECMEM-004
REQ-SECMEM-005,SECMEM,T,TST-SECMEM-005
REQ-BSV-001,BSV,T,TST-BSV-001
REQ-BSV-002,BSV,T,TST-BSV-002
REQ-BSV-003,BSV,T,TST-BSV-002
REQ-BSV-010,BSV,T,TST-BSV-013
REQ-BSV-013,BSV,T,TST-BSV-013
REQ-BSV-040,BSV,T,TST-BSV-040
REQ-BSV-041,BSV,T,TST-BSV-041
REQ-BSV-042,BSV,T,TST-BSV-043
REQ-BSV-043,BSV,T,TST-BSV-043
REQ-BSV-011,BSV,T,TST-BSV-011
REQ-BSV-012,BSV,T,TST-BSV-012
REQ-BSV-020,BSV,T,TST-BSV-020
REQ-BSV-021,BSV,T,TST-BSV-020
REQ-BSV-022,BSV,T,TST-BSV-020
REQ-BSV-031,BSV,T,TST-BSV-031
REQ-BSV-070,BSV,T,TST-BSV-070
REQ-UNI-004,UNI,T,TST-BSV-070
REQ-BSV-080,BSV,T,TST-BSV-082
REQ-BSV-081,BSV,T,TST-BSV-081
REQ-BSV-082,BSV,T,TST-BSV-082
REQ-BSV-083,BSV,T,TST-BSV-083
REQ-BSV-032,BSV,T,TST-CKD-010
REQ-CKD-010,CKD,T,TST-CKD-010
REQ-CKD-001,CKD,T,TST-CKD-001
REQ-CKD-002,CKD,T,TST-CKD-002
REQ-CKD-003,CKD,T,TST-CKD-003
REQ-CKD-008,CKD,T,TST-CKD-001
REQ-CKD-004,CKD,T,TST-CKD-004
REQ-CKD-005,CKD,T,TST-CKD-005
REQ-CKD-006,CKD,T,TST-CKD-006
REQ-CKD-007,CKD,T,TST-CKD-007
REQ-CKD-009,CKD,A,artifact-ckd-security-md
REQ-CIPH-001,CIPH,T,TST-CIPH-001
